score,hypers
17.985043958409186,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 500, 'eta': 1.0, 'subsample': 0.24937146958458287, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
13.234265562993702,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 500, 'eta': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
22.80081560190486,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 500, 'eta': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 1.2444692876270762, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
36.64163501981963,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 500, 'eta': 1.0, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 1.6155376481625736, 'reg_lambda': 9.504589656322954, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
41.40068080137392,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 1.6584220832230445, 'n_estimators': 500, 'eta': 0.18000203181619367, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 6.120622061058985, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
91.48435895398902,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 10.0, 'n_estimators': 500, 'eta': 0.1, 'subsample': 0.1, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
46.14244918656987,{'max_depth': 3, 'min_child_weight': 1, 'gamma': 3.1837058644414276, 'n_estimators': 500, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 10.0, 'reg_lambda': 4.62384096036655, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
41.4006624872991,{'max_depth': 13, 'min_child_weight': 1, 'gamma': 8.088337096659382, 'n_estimators': 50, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 7.988778906949506, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
90.76068153772566,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 0.0, 'n_estimators': 50, 'eta': 1.0, 'subsample': 0.1, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
41.55731318902451,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 3.049318071876657, 'n_estimators': 500, 'eta': 1.0, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 2.5330284669219867, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
42.797540384336216,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 10.0, 'n_estimators': 50, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 4.305725511033123, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
43.62718075812149,{'max_depth': 6, 'min_child_weight': 1, 'gamma': 5.716882190899217, 'n_estimators': 50, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 5.9680914194765124, 'reg_lambda': 0.21188702697455666, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
42.15809927295828,{'max_depth': 3, 'min_child_weight': 1, 'gamma': 7.549582658784595, 'n_estimators': 50, 'eta': 0.1, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 2.19289343038521, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
41.40069944547812,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 5.722462221891607, 'n_estimators': 500, 'eta': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
115.04305274853262,{'max_depth': 11, 'min_child_weight': 20, 'gamma': 10.0, 'n_estimators': 50, 'eta': 0.1, 'subsample': 0.1, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
19.80773365446501,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 500, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 0.5664398837072767, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
17.19790586775987,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 0.0, 'n_estimators': 50, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
42.000762748933305,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 4.920081162217493, 'n_estimators': 50, 'eta': 0.1, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 1.5360386771852146, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
41.4006624872991,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 8.941654585377725, 'n_estimators': 500, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
17.155272095544685,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 50, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
16.858700173796358,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 50, 'eta': 1.0, 'subsample': 0.34455909888461167, 'colsample_bytree': 0.5130908631638663, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
40.716023738434224,{'max_depth': 9, 'min_child_weight': 1, 'gamma': 0.9655247449531998, 'n_estimators': 50, 'eta': 1.0, 'subsample': 0.6459346094115015, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 7.437536771987644, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
