score,hypers
0.034375084252238564,{'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.3604084880202674, 'n_estimators': 399, 'eta': 0.8549276138661386, 'subsample': 0.9903478022393634, 'colsample_bytree': 0.10635285553409982, 'reg_alpha': 2.687142129940385, 'reg_lambda': 0.38858011113063423, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03381926154543065,{'max_depth': 19, 'min_child_weight': 6, 'gamma': 7.239983146267578, 'n_estimators': 83, 'eta': 0.8309315264809518, 'subsample': 0.2932913937134414, 'colsample_bytree': 0.11838749008766741, 'reg_alpha': 3.1732451181805037, 'reg_lambda': 9.735936568972846, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03385605933558405,{'max_depth': 20, 'min_child_weight': 2, 'gamma': 9.562083259293182, 'n_estimators': 124, 'eta': 0.8773868574402423, 'subsample': 0.5756638238347335, 'colsample_bytree': 0.31937048464127327, 'reg_alpha': 5.744485613788722, 'reg_lambda': 3.4204459185222964, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.035964039899652314,{'max_depth': 14, 'min_child_weight': 16, 'gamma': 0.8673491971375015, 'n_estimators': 409, 'eta': 0.2504475495618238, 'subsample': 0.6073363048386885, 'colsample_bytree': 0.2180386942760531, 'reg_alpha': 9.990361588285703, 'reg_lambda': 7.4753997340269525, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.034299584438935264,{'max_depth': 7, 'min_child_weight': 2, 'gamma': 6.102221628489762, 'n_estimators': 457, 'eta': 0.9239871145686862, 'subsample': 0.14891574920127904, 'colsample_bytree': 0.10263382588188655, 'reg_alpha': 0.007607408975420784, 'reg_lambda': 1.2504537266277995, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03377811533975981,{'max_depth': 15, 'min_child_weight': 18, 'gamma': 9.160690465129727, 'n_estimators': 57, 'eta': 0.47084737352178674, 'subsample': 0.7706328213879918, 'colsample_bytree': 0.9168224318874072, 'reg_alpha': 4.416132202665306, 'reg_lambda': 6.447453072831189, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03386348372110791,{'max_depth': 20, 'min_child_weight': 14, 'gamma': 6.613944268477615, 'n_estimators': 378, 'eta': 0.9559594489370137, 'subsample': 0.8972944076798398, 'colsample_bytree': 0.9992653029007178, 'reg_alpha': 2.5353674050555224, 'reg_lambda': 8.747514841456464, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03380693894500766,{'max_depth': 20, 'min_child_weight': 15, 'gamma': 9.76560619936649, 'n_estimators': 497, 'eta': 0.15566791090057136, 'subsample': 0.35163641400741097, 'colsample_bytree': 0.5676415761793179, 'reg_alpha': 3.528635066774381, 'reg_lambda': 0.7143805201978083, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03648628953503616,{'max_depth': 9, 'min_child_weight': 9, 'gamma': 9.905634804863897, 'n_estimators': 74, 'eta': 0.2298330044890791, 'subsample': 0.48795898894986534, 'colsample_bytree': 0.9652267821618581, 'reg_alpha': 8.004866547818036, 'reg_lambda': 6.687093451085985, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03502075324754201,{'max_depth': 3, 'min_child_weight': 4, 'gamma': 6.694219492931008, 'n_estimators': 65, 'eta': 0.18117398239315985, 'subsample': 0.8844237886984987, 'colsample_bytree': 0.125286957186434, 'reg_alpha': 9.95518814578222, 'reg_lambda': 8.607036355143494, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03373992282611347,{'max_depth': 12, 'min_child_weight': 17, 'gamma': 0.5416775253666829, 'n_estimators': 67, 'eta': 0.8432142116263218, 'subsample': 0.38730086355238114, 'colsample_bytree': 0.6403565670141744, 'reg_alpha': 0.08745703911717252, 'reg_lambda': 8.215796987716331, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03403331339280443,{'max_depth': 5, 'min_child_weight': 11, 'gamma': 1.3822352322374167, 'n_estimators': 96, 'eta': 0.1570678835843325, 'subsample': 0.6817989166192032, 'colsample_bytree': 0.6205607587851474, 'reg_alpha': 5.8874389231656306, 'reg_lambda': 1.3217915887581857, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03981243538515068,{'max_depth': 12, 'min_child_weight': 3, 'gamma': 9.957687418152805, 'n_estimators': 103, 'eta': 0.9920794946484632, 'subsample': 0.3012161059979767, 'colsample_bytree': 0.9827662826042186, 'reg_alpha': 8.099097499732865, 'reg_lambda': 2.984293107954104, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03397424981579018,{'max_depth': 5, 'min_child_weight': 19, 'gamma': 4.458250386358875, 'n_estimators': 54, 'eta': 0.4530254336830526, 'subsample': 0.9137242556948103, 'colsample_bytree': 0.31157939744655944, 'reg_alpha': 0.07482845111247195, 'reg_lambda': 9.04055617396647, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03388909945132507,{'max_depth': 11, 'min_child_weight': 19, 'gamma': 2.356825431930591, 'n_estimators': 481, 'eta': 0.1588890139429753, 'subsample': 0.9300021825185923, 'colsample_bytree': 0.483808744396501, 'reg_alpha': 6.882632571801305, 'reg_lambda': 1.3997106111678994, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.032738532948988125,{'max_depth': 20, 'min_child_weight': 9, 'gamma': 0.24695088246995628, 'n_estimators': 145, 'eta': 0.2637183598124377, 'subsample': 0.7725690180181775, 'colsample_bytree': 0.2944423722074342, 'reg_alpha': 0.8515424267629647, 'reg_lambda': 7.874880456781633, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03436189809594195,{'max_depth': 7, 'min_child_weight': 10, 'gamma': 0.7247441174784076, 'n_estimators': 145, 'eta': 0.553886111861027, 'subsample': 0.2567554955125625, 'colsample_bytree': 0.9280612881610667, 'reg_alpha': 0.04036802596379952, 'reg_lambda': 2.1176105581589693, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.030944142852016895,{'max_depth': 5, 'min_child_weight': 13, 'gamma': 0.03996047606622755, 'n_estimators': 71, 'eta': 0.18174682231005512, 'subsample': 0.9335610709532076, 'colsample_bytree': 0.7113456545119562, 'reg_alpha': 1.4172862874390704, 'reg_lambda': 9.864682940917918, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03395496774707263,{'max_depth': 5, 'min_child_weight': 20, 'gamma': 2.877851863610325, 'n_estimators': 74, 'eta': 0.7920043587779629, 'subsample': 0.8311891464557207, 'colsample_bytree': 0.7733905971946132, 'reg_alpha': 6.806353105179119, 'reg_lambda': 5.991503596459454, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03517905641087837,{'max_depth': 14, 'min_child_weight': 2, 'gamma': 0.587270119557285, 'n_estimators': 141, 'eta': 0.4456602102914724, 'subsample': 0.5702157841984402, 'colsample_bytree': 0.9080314108096759, 'reg_alpha': 8.349226858823931, 'reg_lambda': 9.322119173832352, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
