score,hypers
0.039507192849386676,{'max_depth': 6, 'min_child_weight': 10, 'gamma': 0.0, 'learning_rate': 0.15752259956713469, 'n_estimators': 86, 'eta': 1.0, 'max_delta_step': 7, 'subsample': 0.3119729767165709, 'colsample_bytree': 0.14249970472938261, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04366900457865118,{'max_depth': 7, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.2975430265946892, 'n_estimators': 500, 'eta': 0.4411412621691523, 'max_delta_step': 0, 'subsample': 0.3971728511778213, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04529052158189449,{'max_depth': 2, 'min_child_weight': 13, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 0.18868282581599, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.3415347464428159,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'learning_rate': 0.4442067913402973, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 4, 'subsample': 0.2015164535290206, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04385773629650252,{'max_depth': 20, 'min_child_weight': 19, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 8, 'subsample': 0.8468397924806272, 'colsample_bytree': 0.96311330621387, 'reg_alpha': 0.0, 'reg_lambda': 1.3388677754126368, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04401905640961969,{'max_depth': 20, 'min_child_weight': 9, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 3, 'subsample': 0.7842419294417404, 'colsample_bytree': 0.26921828600725295, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.24980197127438916,{'max_depth': 2, 'min_child_weight': 16, 'gamma': 6.1591707606651145, 'learning_rate': 0.001, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043724006282964856,{'max_depth': 20, 'min_child_weight': 9, 'gamma': 10.0, 'learning_rate': 0.15017288087510058, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 8, 'subsample': 0.7343904050773957, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043732984674174906,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.09677576626798805,{'max_depth': 15, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.035912144416053574, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 0.9267288857180602, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04376320985732553,{'max_depth': 13, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 0.6386667519342447, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043732984674174906,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 0.5244714306952389, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04350072093989395,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 2.8793912588423987, 'learning_rate': 0.3719332992582179, 'n_estimators': 274, 'eta': 0.5538813089724673, 'max_delta_step': 0, 'subsample': 0.8333456976265403, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043619665466849145,{'max_depth': 20, 'min_child_weight': 13, 'gamma': 10.0, 'learning_rate': 0.07468748779098634, 'n_estimators': 500, 'eta': 0.28521675093850685, 'max_delta_step': 9, 'subsample': 0.3738103025688835, 'colsample_bytree': 0.25022872143303676, 'reg_alpha': 0.0, 'reg_lambda': 0.7087289289139778, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04436271361041978,{'max_depth': 20, 'min_child_weight': 12, 'gamma': 0.0, 'learning_rate': 0.17289321640636834, 'n_estimators': 500, 'eta': 0.6764856392250211, 'max_delta_step': 10, 'subsample': 0.33881397294016946, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 9.276007365705974, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.3261356896909027,{'max_depth': 9, 'min_child_weight': 16, 'gamma': 5.801019497685218, 'learning_rate': 0.001, 'n_estimators': 248, 'eta': 0.9876437809650584, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 0.5298364655889723, 'reg_alpha': 10.0, 'reg_lambda': 0.14428185072146274, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.044217911158951705,{'max_depth': 20, 'min_child_weight': 3, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 8, 'subsample': 0.35946831475562513, 'colsample_bytree': 0.663361138234476, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.05325606768701222,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 6.912688081243722, 'learning_rate': 0.1093931651254051, 'n_estimators': 120, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 0.9164358565591751, 'colsample_bytree': 0.5174628404302151, 'reg_alpha': 3.382751404373914, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04363447158707323,{'max_depth': 19, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.17300339158375994, 'n_estimators': 500, 'eta': 0.5911776907740587, 'max_delta_step': 1, 'subsample': 0.5618125303097921, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043732977883326654,{'max_depth': 20, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.22033985234215533, 'n_estimators': 50, 'eta': 0.995017800539749, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
