score,hypers
0.045767036137221384,{'max_depth': 2, 'min_child_weight': 5, 'gamma': 2.8167217565316256, 'learning_rate': 0.1751713711877546, 'n_estimators': 272, 'eta': 0.35540810547897217, 'max_delta_step': 4, 'subsample': 0.9346878033387209, 'colsample_bytree': 0.3779590808507406, 'reg_alpha': 9.012223379211486, 'reg_lambda': 1.2550090708661301, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04309346884257475,{'max_depth': 4, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 0.04640739146634918, 'n_estimators': 127, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 0.8970398961348619, 'colsample_bytree': 1.0, 'reg_alpha': 5.335953816001364, 'reg_lambda': 0.3742015713517505, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
1.7292336270125124,{'max_depth': 19, 'min_child_weight': 20, 'gamma': 2.3637442191524602, 'learning_rate': 0.0012747098378802018, 'n_estimators': 136, 'eta': 0.7882869846123728, 'max_delta_step': 8, 'subsample': 0.70222637750866, 'colsample_bytree': 0.9001984997278082, 'reg_alpha': 0.0, 'reg_lambda': 0.6845034589656647, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.10832487619677804,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 0.03917085347976221, 'n_estimators': 50, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 0.7069120526746426, 'colsample_bytree': 0.7771403634286533, 'reg_alpha': 10.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.039939050302766024,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'learning_rate': 0.10945246426411558, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 0.5149091918089379, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 6.327672576586893, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.046497462320203825,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'learning_rate': 0.12018818409287131, 'n_estimators': 379, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 0.6571179661849991, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 7.980714413963143, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
2.643118611289271,{'max_depth': 20, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 0.008516102055160377, 'n_estimators': 380, 'eta': 1.0, 'max_delta_step': 7, 'subsample': 0.1, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04384288184969755,{'max_depth': 16, 'min_child_weight': 16, 'gamma': 1.9007813397349977, 'learning_rate': 0.01722757710686128, 'n_estimators': 388, 'eta': 0.8084631510816503, 'max_delta_step': 9, 'subsample': 1.0, 'colsample_bytree': 0.1686932617185662, 'reg_alpha': 2.2211697735109532, 'reg_lambda': 1.286926395602472, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.044285626892209974,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 8.954011063309528, 'learning_rate': 0.6547092561466749, 'n_estimators': 50, 'eta': 0.1, 'max_delta_step': 8, 'subsample': 1.0, 'colsample_bytree': 0.35653474767029636, 'reg_alpha': 0.0, 'reg_lambda': 3.8978548928066186, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04428553552847733,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 9.536669122496225, 'learning_rate': 0.028089587357808445, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 5, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 3.6260010483872263, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04932701617891413,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 3, 'subsample': 0.545890089995595, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 3.9417622081060157, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043965309329370345,{'max_depth': 2, 'min_child_weight': 4, 'gamma': 5.291324139849188, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 0.7780541353439103, 'max_delta_step': 4, 'subsample': 0.5777874052854525, 'colsample_bytree': 0.1, 'reg_alpha': 3.4704119101623703, 'reg_lambda': 6.853826100254594, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043133827844574826,{'max_depth': 2, 'min_child_weight': 18, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 140, 'eta': 0.8559380145452203, 'max_delta_step': 7, 'subsample': 0.7739469902007163, 'colsample_bytree': 0.8718617197214287, 'reg_alpha': 6.542210787199627, 'reg_lambda': 2.4094999295248734, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03723997336655006,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 0.1654218305723669, 'n_estimators': 50, 'eta': 0.1, 'max_delta_step': 3, 'subsample': 0.967612905578317, 'colsample_bytree': 1.0, 'reg_alpha': 1.5924057934338158, 'reg_lambda': 2.222541438762229, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
2.29209519561935,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.001, 'n_estimators': 104, 'eta': 0.7493936990171138, 'max_delta_step': 10, 'subsample': 0.657777873356611, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.35843276733566065,{'max_depth': 2, 'min_child_weight': 3, 'gamma': 10.0, 'learning_rate': 0.02924163904967206, 'n_estimators': 50, 'eta': 0.27964404137105736, 'max_delta_step': 0, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 0.6721918348768284, 'reg_lambda': 7.597460705775658, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04386596074592116,{'max_depth': 10, 'min_child_weight': 1, 'gamma': 8.241539672839703, 'learning_rate': 0.08958772979115813, 'n_estimators': 63, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 0.24004194874239312, 'reg_alpha': 3.3645820364140455, 'reg_lambda': 6.151731586902538, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.058397965910804595,{'max_depth': 15, 'min_child_weight': 16, 'gamma': 2.8091041120689013, 'learning_rate': 0.013616090740565226, 'n_estimators': 222, 'eta': 0.21517862098633284, 'max_delta_step': 8, 'subsample': 1.0, 'colsample_bytree': 0.770982393413547, 'reg_alpha': 9.677107598263419, 'reg_lambda': 4.718187945507124, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.053239671454566616,{'max_depth': 3, 'min_child_weight': 17, 'gamma': 7.994588902425962, 'learning_rate': 0.37866265751870243, 'n_estimators': 233, 'eta': 0.43401837747201055, 'max_delta_step': 0, 'subsample': 0.1, 'colsample_bytree': 0.600102488243564, 'reg_alpha': 0.12851714568502226, 'reg_lambda': 0.6934379913094382, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
