ID,PLGA,PP-L,PP-COOH,PP-NH2,S/AS,Uptake,Uptake_stdev,PDI,PDI_stdev,Z_ave,Z_ave_stdev,cycle,cycle_type,cycle_origin,pick_for_next_cycle,Uptake_pred,Uptake_pred_stdev,Uptake_pred_5,Uptake_pred_95,PDI_pred,Z_ave_pred
screen_51944,0,0.62,0.06,0.32,0.2,5.93,0.33,0.108,0.007,89.42,0.7111,2,Exploitation,1,no,8.230745951,1.258155704,6.102256298,10.18361791,0.106706863,92.98852793
screen_72795,0,0.67,0.17,0.16,0.2,14.4,0.6,0.121,0.007,96.39,0.695,2,Exploitation,1,no,5.79905351,1.118264794,3.988816738,7.64353323,0.109797336,107.2569758
screen_24111,0,0.13,0.37,0.5,0.2,10.89,0.75,0.108,0.003,119.1,1.114,2,Exploitation,1,no,11.44235738,1.246715307,9.409513156,13.48935095,0.131377662,126.6839828
screen_56633,0,0.44,0.24,0.32,0.2,7.44,0.23,0.13,0.013,105.6,1.778,2,Exploitation,1,no,10.59030692,1.179520567,8.639658928,12.55797799,0.113781398,104.2904104
screen_72872,0,0.33,0.22,0.45,0.1,8.6,0.37,0.113,0.014,97.38,0.8146,2,Exploitation,2,no,9.842652003,1.149386605,8.001897176,11.80035718,0.095081732,97.98729197
screen_91542,0,0.34,0.22,0.44,0.1,9.62,0.12,0.098,0.032,98.14,1.126,2,Exploitation,2,no,9.793898582,1.171915293,7.885441621,11.66744963,0.098321689,98.84934998
screen_52734,0,0.25,0.3,0.45,0.2,13.91,0.34,0.11,0.004,107,0.2,2,Exploitation,2,no,10.79215177,1.132948875,8.963541985,12.62801329,0.107368407,106.4079539
screen_38116,0,0.3,0.28,0.42,0.2,13.78,0.97,0.108,0.032,104,0.9452,2,Exploitation,2,no,11.25080617,1.173150897,9.372227033,13.21015898,0.115335748,109.2187093
screen_96636,0,0.22,0.29,0.49,0.2,14.5,0.72,0.109,0.015,107,0.2,2,Exploitation,2,no,11.29508877,1.172873616,9.341261864,13.21043046,0.102498213,107.0301514
screen_72388,0,0.29,0.27,0.44,0.2,13.62,0.87,0.108,0.021,103.2,0.4163,2,Exploitation,2,no,11.54354922,1.131643573,9.630951246,13.33772628,0.114829813,109.0941645
screen_38000,0.07,0.26,0.17,0.5,0.2,11.27,1.21,0.108,0.005,106.9,0.6807,2,Exploitation,2,no,9.509441058,1.152828932,7.543571313,11.32565085,0.115257435,107.659373
